,Product Name,Rating,Review Count,Price
0,"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, H",4.1 out of 5 stars,"25,066","₹1,399.00"
1,"Noise Pulse Go Buzz Smart Watch with Advanced Bluetooth Calling, 1.69"" TFT Display, SpO2, 100 Sports Mode with Auto Detection",4.1 out of 5 stars,"40,797","₹1,299.00"
2,"Fastrack New Limitless X2 Smartwatch|1.91"" UltraVU with Rotating Crown|60 Hz Refresh Rate|Advanced Chipset|SingleSync BT Call",3.9 out of 5 stars,"8,594","₹1,499.00"
3,"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, St",4.0 out of 5 stars,"21,654","₹1,099.00"
4,"boAt Wave Lite Smart Watch w/ 1.69"" (4.2 cm) HD Display, Sleek Metal Body, HR & SpO2 Level Monitor, 140+ Watch Faces, Activit",3.9 out of 5 stars,"70,092",₹999.00
5,"Fire-Boltt Phoenix Ultra Luxury Stainless Steel, Bluetooth Calling Smartwatch, AI Voice Assistant, Metal Body with 120+ Sport",4.1 out of 5 stars,"72,756","₹1,799.00"
6,Casio Vintage A158WA-1DF Black Digital Dial Silver Stainless Steel Band D011,,"43,322","₹1,695.00"
7,"Fire-Boltt Ninja Call Pro Plus 46.48mm (1.83 inch) Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes ",4.1 out of 5 stars,"69,394","₹1,399.00"
8,TIMEWEAR Analog Day Date Functioning Stainless Steel Chain Watch for Men,3.8 out of 5 stars,"13,102",₹319.00
9,"Sounce Silicone 22mm Replacement Watch Strap with Metal Buckle Compatible with Boat Xtend, Boat Xtend Pro, Noise Colorfit Pul",4.2 out of 5 stars,"3,015",₹299.00
10,SPIKY 3D Cartoon Kids Analog Watch with LED Luminous 7 Multicolour Glowing Disco Light | Unbreakable Silicone Strap | Childre,4.0 out of 5 stars,"2,020",₹494.00
11,Matrix Antique 2.0 Day & Date Softest Silicone Strap Analog Watch for Men & Boys,4.1 out of 5 stars,"1,396",₹318.00
12,Fastrack Analog Unisex-Adult Watch,4.2 out of 5 stars,"12,867",₹815.00
13,LEDO Men's and Women's Watch Box Holder Organizer Case In 12 Slots of watches In PU Leather with Black & Gray,,"1,216",₹998.00
14,Acnos 6 Colours Luminous LED Display Fashionable Children Kids Digital Watches Waterproof Sports Square Electronic Led Watch ,3.9 out of 5 stars,634,₹280.00
15,TIMEX Analog Men's Watch (Dial Colored Strap),4.1 out of 5 stars,"21,603",₹957.00
16,LOUIS DEVIN Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054,4.0 out of 5 stars,"3,421",₹369.00
17,Shocknshop Digital Sports Multi Functional Black Dial Watch for Mens Boys -315RED,3.9 out of 5 stars,"8,718",₹284.00
18,Acnos® Premium Brand - A Digital Watch Shockproof Multi-Functional Automatic 5 Color Army Strap Waterproof Digital Sports Wat,4.1 out of 5 stars,"1,680",₹284.00
